rows 100 cols 5000 nonzeros 5 sigma 1
lambda, precision, recall, SSD RSS
1947.16070367 , 1.0 , 0.2 , 465.376102731 , 41757.85903
1557.72856294 , 1.0 , 0.8 , 364.605364465 , 31914.6713734
1246.18285035 , 1.0 , 1.0 , 250.442169747 , 21623.0728732
996.946280281 , 1.0 , 1.0 , 161.125329926 , 13876.9762731
797.557024225 , 1.0 , 1.0 , 103.797239897 , 8919.39284787
638.04561938 , 1.0 , 1.0 , 66.9758010594 , 5746.53945346
510.436495504 , 1.0 , 1.0 , 43.3049112495 , 3715.91328104
408.349196403 , 1.0 , 1.0 , 28.0714066083 , 2416.31253069
326.679357122 , 1.0 , 1.0 , 18.2546555076 , 1584.56805047
261.343485698 , 1.0 , 1.0 , 11.9181713069 , 1052.25811973
209.074788558 , 0.833333333333 , 1.0 , 7.83861426588 , 711.460396363
167.259830847 , 0.833333333333 , 1.0 , 5.24728310763 , 492.230060609
133.807864677 , 0.714285714286 , 1.0 , 3.57504778272 , 351.630484188
107.046291742 , 0.454545454545 , 1.0 , 2.61572783708 , 256.287685282
85.6370333935 , 0.384615384615 , 1.0 , 2.07210282229 , 189.480051502
68.5096267148 , 0.217391304348 , 1.0 , 1.75388886508 , 138.647399131
54.8077013718 , 0.15625 , 1.0 , 1.55896538754 , 98.7433666251
43.8461610975 , 0.119047619048 , 1.0 , 1.47808509351 , 69.2336930163
35.076928878 , 0.0892857142857 , 1.0 , 1.45669926765 , 47.3609211201
28.0615431024 , 0.078125 , 1.0 , 1.41384456261 , 31.7143990448
22.4492344819 , 0.0641025641026 , 1.0 , 1.40335846382 , 21.1048680163
17.9593875855 , 0.0602409638554 , 1.0 , 1.40211638016 , 13.9274184061
14.3675100684 , 0.0549450549451 , 1.0 , 1.39725291039 , 9.06848587404
11.4940080547 , 0.0520833333333 , 1.0 , 1.38830566549 , 5.88488408713
9.19520644379 , 0.0510204081633 , 1.0 , 1.38157013521 , 3.80944925455
7.35616515503 , 0.0505050505051 , 1.0 , 1.3752175255 , 2.46292250265
5.88493212402 , 0.045871559633 , 1.0 , 1.36023052791 , 1.59782893219
4.70794569922 , 0.042735042735 , 1.0 , 1.34842543538 , 1.03902619375
3.76635655938 , 0.0409836065574 , 1.0 , 1.33999446361 , 0.670306411005
3.0130852475 , 0.0387596899225 , 1.0 , 1.33266472733 , 0.433270294046
2.410468198 , 0.0387596899225 , 1.0 , 1.32746651447 , 0.279084936702
1.9283745584 , 0.0381679389313 , 1.0 , 1.3235078073 , 0.179299165803
1.54269964672 , 0.036496350365 , 1.0 , 1.31935290324 , 0.115324028261
1.23415971738 , 0.034965034965 , 1.0 , 1.31607823792 , 0.074109604573
