rows 100 cols 5000 nonzeros 5 sigma 1
lambda, precision, recall, SSD RSS
1270.74885126 , 0.75 , 0.6 , 430.029569842 , 27518.5650291
1016.59908101 , 0.5 , 0.8 , 338.138565491 , 19927.9595667
813.279264808 , 0.555555555556 , 1.0 , 228.621866134 , 13138.3956558
650.623411846 , 0.555555555556 , 1.0 , 147.296476199 , 8443.26934984
520.498729477 , 0.555555555556 , 1.0 , 95.0852919056 , 5439.26000439
416.398983582 , 0.555555555556 , 1.0 , 61.5059161656 , 3516.16560513
333.119186865 , 0.5 , 1.0 , 39.9724531669 , 2285.38302842
266.495349492 , 0.454545454545 , 1.0 , 26.1925772211 , 1496.77151376
213.196279594 , 0.454545454545 , 1.0 , 17.39249872 , 990.38077049
170.557023675 , 0.416666666667 , 1.0 , 11.7320432547 , 665.501353258
136.44561894 , 0.357142857143 , 1.0 , 8.11560130526 , 456.629806829
109.156495152 , 0.294117647059 , 1.0 , 5.85014474602 , 317.592267064
87.3251961216 , 0.178571428571 , 1.0 , 4.64503643346 , 220.400451173
69.8601568973 , 0.138888888889 , 1.0 , 4.21127061591 , 150.335350888
55.8881255178 , 0.119047619048 , 1.0 , 4.1081154425 , 102.243509806
44.7105004143 , 0.102040816327 , 1.0 , 4.0847560212 , 69.5992693935
35.7684003314 , 0.0961538461538 , 1.0 , 4.25678947008 , 46.4984261306
28.6147202651 , 0.0892857142857 , 1.0 , 4.40767428875 , 31.3256061429
22.8917762121 , 0.078125 , 1.0 , 4.40218314746 , 20.9216762027
18.3134209697 , 0.0724637681159 , 1.0 , 4.40552867042 , 13.9611154485
14.6507367757 , 0.0649350649351 , 1.0 , 4.44318288594 , 9.16956538611
11.7205894206 , 0.0581395348837 , 1.0 , 4.46595604712 , 5.98514603047
9.37647153648 , 0.0561797752809 , 1.0 , 4.49226517315 , 3.88160003264
7.50117722918 , 0.054347826087 , 1.0 , 4.50807979343 , 2.52716705415
6.00094178335 , 0.0505050505051 , 1.0 , 4.53412379554 , 1.63788570959
4.80075342668 , 0.0490196078431 , 1.0 , 4.54532196206 , 1.05906291613
3.84060274134 , 0.0471698113208 , 1.0 , 4.55210682374 , 0.686154986817
3.07248219307 , 0.0423728813559 , 1.0 , 4.54660454041 , 0.440756536009
2.45798575446 , 0.0416666666667 , 1.0 , 4.53915941746 , 0.281856137289
1.96638860357 , 0.0406504065041 , 1.0 , 4.53600242009 , 0.180733247113
1.57311088285 , 0.0381679389313 , 1.0 , 4.52928640321 , 0.11604355636
1.25848870628 , 0.037037037037 , 1.0 , 4.52580929958 , 0.0743850549794
1.00679096503 , 0.0354609929078 , 1.0 , 4.52396677518 , 0.0477595967762
