Loading Data
Loaded 44.36
time, lambda, RMS Train, RMS Validate, nonzeros
time: 0.64
138.15 , 116.740756581 , 2.39365206675 , 2.07675323922 , 4
39.06 , 93.3926052649 , 2.29482006523 , 1.9253205462 , 4
37.46 , 74.7140842119 , 2.22926938352 , 1.82181556567 , 4
35.69 , 59.7712673695 , 2.18628585874 , 1.75237154436 , 4
33.84 , 47.8170138956 , 2.15679942912 , 1.70313278385 , 5
36.4 , 38.2536111165 , 2.13767021437 , 1.67065170899 , 5
69.37 , 30.6028888932 , 2.11971553844 , 1.64474671752 , 9
78.97 , 24.4823111146 , 2.1058979125 , 1.62655465044 , 16
76.6 , 19.5858488916 , 2.0946326797 , 1.61429736763 , 19
53.76 , 15.6686791133 , 2.08139764472 , 1.60337727248 , 25
269.97 , 12.5349432907 , 2.05201315353 , 1.57443571465 , 31
276.27 , 10.0279546325 , 2.03123864137 , 1.55604114351 , 33
3637.2 , 8.02236370602 , 2.01388014823 , 1.54203419486 , 37
427.67 , 6.41789096482 , 1.99868998156 , 1.53115275255 , 42
441.78 , 5.13431277185 , 1.98467058334 , 1.5292539873 , 50
595.33 , 4.10745021748 , 1.97160116839 , 1.53723132252 , 56
1328.65 , 3.28596017399 , 1.96003667684 , 1.55151523352 , 67
1028.73 , 2.62876813919 , 1.94704841993 , 1.5641665153 , 75
504.97 , 2.10301451135 , 1.93642291806 , 1.57391154962 , 83
472.2 , 1.68241160908 , 1.92905328403 , 1.57714475475 , 85
348.45 , 1.34592928726 , 1.92316119322 , 1.57936445734 , 100
