time, lambda, RMS Train, RMS Validate
time: 0.52
158.1 , 116.740756581 , 2.39365206675 , 2.07675323922
79.25 , 93.3926052649 , 2.29482006523 , 1.9253205462
79.5 , 74.7140842119 , 2.22926938352 , 1.82181556567
37.7 , 59.7712673695 , 2.18628585874 , 1.75237154436
72.16 , 47.8170138956 , 2.15679942912 , 1.70313278385
108.83 , 38.2536111165 , 2.13767021437 , 1.67065170899
181.28 , 30.6028888932 , 2.11971553844 , 1.64474671752
201.22 , 24.4823111146 , 2.1058979125 , 1.62655465044
193.42 , 19.5858488916 , 2.0946326797 , 1.61429736763
135.18 , 15.6686791133 , 2.08139764472 , 1.60337727248
678.05 , 12.5349432907 , 2.05201315353 , 1.57443571465
695.74 , 10.0279546325 , 2.03123864137 , 1.55604114351
8951.68 , 8.02236370602 , 2.01388014823 , 1.54203419486
1082.81 , 6.41789096482 , 1.99868998156 , 1.53115275255
1453.6 , 5.13431277185 , 1.98467058334 , 1.5292539873
794.76 , 4.10745021748 , 1.97160116839 , 1.53723132252
1474.48 , 3.28596017399 , 1.96003667684 , 1.55151523352
1013.58 , 2.62876813919 , 1.94704841993 , 1.5641665153
497.12 , 2.10301451135 , 1.93642291806 , 1.57391154962
518.25 , 1.68241160908 , 1.92905328403 , 1.57714475475
386.62 , 1.34592928726 , 1.92316119322 , 1.57936445734
376.02 , 1.07674342981 , 1.91803614468 , 1.58795388097

